"15133SEJ 과세유형별(1)","13301B 시도․업태별(1)","13301B 시도․업태별(2)",TIME 시점,16133T2008_0245 총계,16133T2008_0418 사업부진,16133T2008_0419 행정처분,16133T2008_0420 계절사업,16133T2008_0421 법인전환,16133T2008_0422 면세포기·적용,T001 양도·양수,16133T2008_0425 해산·합병,16133ABA7 기타
"15133SEJ01 법인사업자","B02 지역별","B17 울산",Y2021 2021,956,423,7,1,-,-,11,34,480
"15133SEJ01 법인사업자","B02 지역별","B17 울산",Y2022 2022,1024,459,5,0,0,0,16,23,521
"15133SEJ01 법인사업자","B02 지역별","B17 울산",Y2023 2023,1171,551,4,1,-,-,13,27,575
"15133SEJ01 법인사업자","B02 지역별","B18 경남",Y2019 2019,3078,1282,5,-,-,-,38,96,1657
"15133SEJ01 법인사업자","B02 지역별","B18 경남",Y2020 2020,2874,1253,3,1,-,-,36,81,1500
"15133SEJ01 법인사업자","B02 지역별","B18 경남",Y2021 2021,2780,1188,9,2,-,-,41,127,1413
"15133SEJ01 법인사업자","B02 지역별","B18 경남",Y2022 2022,2993,1269,18,5,0,0,34,100,1567
"15133SEJ01 법인사업자","B02 지역별","B18 경남",Y2023 2023,3313,1454,25,1,-,-,48,75,1710
"15133SEJ01 법인사업자","B02 지역별","B19 제주",Y2019 2019,873,271,5,1,-,-,15,35,546
"15133SEJ01 법인사업자","B02 지역별","B19 제주",Y2020 2020,911,372,2,1,-,-,8,39,489
"15133SEJ01 법인사업자","B02 지역별","B19 제주",Y2021 2021,794,300,3,-,-,-,11,44,436
"15133SEJ01 법인사업자","B02 지역별","B19 제주",Y2022 2022,961,342,0,0,0,0,17,31,571
"15133SEJ01 법인사업자","B02 지역별","B19 제주",Y2023 2023,1274,386,5,-,-,-,10,40,833
"15133SEJ01 법인사업자","B20 업태별","소계",Y2019 2019,69587,27898,1198,35,-,1,1035,2205,37215
"15133SEJ01 법인사업자","B20 업태별","소계",Y2020 2020,67547,29354,749,21,-,-,1028,2172,34223
"15133SEJ01 법인사업자","B20 업태별","소계",Y2021 2021,65983,28754,632,16,-,-,1171,2682,32728
"15133SEJ01 법인사업자","B20 업태별","소계",Y2022 2022,67656,29420,585,17,0,0,922,2756,33956
"15133SEJ01 법인사업자","B20 업태별","소계",Y2023 2023,75668,33727,762,53,-,-,1071,2630,37425
"15133SEJ01 법인사업자","B20 업태별","B21 농·임·어업",Y2019 2019,1201,426,19,-,-,-,8,35,713
"15133SEJ01 법인사업자","B20 업태별","B21 농·임·어업",Y2020 2020,1037,467,6,2,-,-,4,27,531
"15133SEJ01 법인사업자","B20 업태별","B21 농·임·어업",Y2021 2021,1021,476,15,1,-,-,7,38,484
"15133SEJ01 법인사업자","B20 업태별","B21 농·임·어업",Y2022 2022,1210,539,12,1,0,0,10,47,601
"15133SEJ01 법인사업자","B20 업태별","B21 농·임·어업",Y2023 2023,1166,514,9,-,-,-,3,38,602
"15133SEJ01 법인사업자","B20 업태별","B22 광업",Y2019 2019,65,15,2,-,-,-,-,4,44
"15133SEJ01 법인사업자","B20 업태별","B22 광업",Y2020 2020,80,25,1,-,-,-,2,8,44
"15133SEJ01 법인사업자","B20 업태별","B22 광업",Y2021 2021,60,23,2,-,-,-,-,2,33
"15133SEJ01 법인사업자","B20 업태별","B22 광업",Y2022 2022,45,13,0,0,0,0,0,0,32
"15133SEJ01 법인사업자","B20 업태별","B22 광업",Y2023 2023,63,15,1,-,-,-,-,-,47
"15133SEJ01 법인사업자","B20 업태별","B23 제조업",Y2019 2019,11084,4750,223,3,-,-,101,346,5661
"15133SEJ01 법인사업자","B20 업태별","B23 제조업",Y2020 2020,10253,4755,120,2,-,-,93,328,4955
"15133SEJ01 법인사업자","B20 업태별","B23 제조업",Y2021 2021,9643,4505,121,-,-,-,84,357,4576
"15133SEJ01 법인사업자","B20 업태별","B23 제조업",Y2022 2022,9449,4323,114,0,0,0,85,354,4573
"15133SEJ01 법인사업자","B20 업태별","B23 제조업",Y2023 2023,10271,4939,137,-,-,-,76,351,4768
"15133SEJ01 법인사업자","B20 업태별","B24 전기·가스·수도업",Y2019 2019,534,129,10,2,-,-,22,18,353
"15133SEJ01 법인사업자","B20 업태별","B24 전기·가스·수도업",Y2020 2020,629,231,1,-,-,-,24,26,347
"15133SEJ01 법인사업자","B20 업태별","B24 전기·가스·수도업",Y2021 2021,481,181,3,-,-,-,12,20,265
"15133SEJ01 법인사업자","B20 업태별","B24 전기·가스·수도업",Y2022 2022,431,160,5,0,0,0,13,24,229
"15133SEJ01 법인사업자","B20 업태별","B24 전기·가스·수도업",Y2023 2023,441,181,3,-,-,-,15,19,223
"15133SEJ01 법인사업자","B20 업태별","B25 도매업",Y2019 2019,12635,5791,235,10,-,-,59,301,6239
"15133SEJ01 법인사업자","B20 업태별","B25 도매업",Y2020 2020,11407,5678,141,5,-,-,54,219,5310
"15133SEJ01 법인사업자","B20 업태별","B25 도매업",Y2021 2021,11063,5543,95,2,-,-,95,235,5093
"15133SEJ01 법인사업자","B20 업태별","B25 도매업",Y2022 2022,10540,5419,121,1,0,0,56,238,4705
"15133SEJ01 법인사업자","B20 업태별","B25 도매업",Y2023 2023,11185,5672,115,5,-,-,57,214,5122
"15133SEJ01 법인사업자","B20 업태별","B26 소매업",Y2019 2019,6029,2291,96,3,-,-,65,88,3486
"15133SEJ01 법인사업자","B20 업태별","B26 소매업",Y2020 2020,6213,2657,73,1,-,-,81,86,3315
"15133SEJ01 법인사업자","B20 업태별","B26 소매업",Y2021 2021,7525,3204,55,4,-,-,176,136,3950
"15133SEJ01 법인사업자","B20 업태별","B26 소매업",Y2022 2022,7881,3513,52,1,0,0,60,105,4150
"15133SEJ01 법인사업자","B20 업태별","B26 소매업",Y2023 2023,8484,3869,88,2,-,-,225,103,4197
"15133SEJ01 법인사업자","B20 업태별","B27 부동산매매업",Y2019 2019,2132,805,53,-,-,1,11,36,1226
"15133SEJ01 법인사업자","B20 업태별","B27 부동산매매업",Y2020 2020,2396,1037,30,-,-,-,14,63,1252
"15133SEJ01 법인사업자","B20 업태별","B27 부동산매매업",Y2021 2021,2241,1038,25,-,-,-,16,104,1058
"15133SEJ01 법인사업자","B20 업태별","B27 부동산매매업",Y2022 2022,2705,1293,29,1,0,0,19,96,1267
"15133SEJ01 법인사업자","B20 업태별","B27 부동산매매업",Y2023 2023,3132,1546,48,-,-,-,10,74,1454
"15133SEJ01 법인사업자","B20 업태별","B28 건설업",Y2019 2019,4857,2004,127,-,-,-,12,126,2588
"15133SEJ01 법인사업자","B20 업태별","B28 건설업",Y2020 2020,4614,2009,80,-,-,-,9,124,2392
"15133SEJ01 법인사업자","B20 업태별","B28 건설업",Y2021 2021,4271,1973,76,-,-,-,14,233,1975
"15133SEJ01 법인사업자","B20 업태별","B28 건설업",Y2022 2022,4478,2178,46,0,0,0,13,223,2018
"15133SEJ01 법인사업자","B20 업태별","B28 건설업",Y2023 2023,5209,2415,63,-,-,-,10,220,2501
"15133SEJ01 법인사업자","B20 업태별","B29 음식업",Y2019 2019,4447,1577,20,10,-,-,365,26,2449
"15133SEJ01 법인사업자","B20 업태별","B29 음식업",Y2020 2020,4388,1925,20,3,-,-,246,55,2139
"15133SEJ01 법인사업자","B20 업태별","B29 음식업",Y2021 2021,4349,1931,7,-,-,-,204,27,2180
"15133SEJ01 법인사업자","B20 업태별","B29 음식업",Y2022 2022,4367,1794,11,3,0,0,245,17,2297
"15133SEJ01 법인사업자","B20 업태별","B29 음식업",Y2023 2023,5808,1857,14,3,-,-,307,88,3539
"15133SEJ01 법인사업자","B20 업태별","B30 숙박업",Y2019 2019,196,54,5,-,-,-,21,9,107
"15133SEJ01 법인사업자","B20 업태별","B30 숙박업",Y2020 2020,200,60,1,1,-,-,22,8,108
"15133SEJ01 법인사업자","B20 업태별","B30 숙박업",Y2021 2021,189,48,1,-,-,-,21,10,109
"15133SEJ01 법인사업자","B20 업태별","B30 숙박업",Y2022 2022,229,56,1,0,0,0,23,3,146
"15133SEJ01 법인사업자","B20 업태별","B30 숙박업",Y2023 2023,238,49,1,-,-,-,18,9,161
"15133SEJ01 법인사업자","B20 업태별","B31 운수·창고·통신업",Y2019 2019,2196,1017,32,-,-,-,9,45,1093
"15133SEJ01 법인사업자","B20 업태별","B31 운수·창고·통신업",Y2020 2020,2163,1160,21,2,-,-,10,51,919
"15133SEJ01 법인사업자","B20 업태별","B31 운수·창고·통신업",Y2021 2021,1654,888,16,-,-,-,13,45,692
"15133SEJ01 법인사업자","B20 업태별","B31 운수·창고·통신업",Y2022 2022,1619,828,14,1,0,0,7,51,718
"15133SEJ01 법인사업자","B20 업태별","B31 운수·창고·통신업",Y2023 2023,2082,1064,23,37,-,-,9,42,907
